fatality_id,event_id,fatality_type,fatality_date,fatality_age,fatality_sex,fatality_location
"44140","960613","D","07/16/2021","71","M","Golfing"
"43206","961309","I","07/20/2021","32","M","Other"
"43207","961309","I","07/20/2021","31","M","Other"
"43208","961309","I","07/20/2021","","M","Other"
"43215","962841","I","07/07/2021","47","M","Vehicle/Towed Trailer"
"43216","962841","I","07/07/2021","16","F","Vehicle/Towed Trailer"
"43217","962841","I","07/07/2021","17","F","Vehicle/Towed Trailer"
"43218","962841","I","07/07/2021","17","M","Vehicle/Towed Trailer"
"43235","964040","D","07/24/2021","","M","Outside/Open Areas"
"43240","964357","D","07/30/2021","37","M","Under Tree"
"43267","965659","I","07/19/2021","73","M","Boating"
"43320","965726","D","07/07/2021","25","M","Vehicle/Towed Trailer"
"43315","966938","D","07/16/2021","","","Outside/Open Areas"
"43340","968181","D","07/17/2021","25","F","Vehicle/Towed Trailer"
"43338","968238","I","07/28/2021","85","M","Permanent Home"
"44206","970692","D","07/28/2021","17","M","Outside/Open Areas"
"44266","971685","D","07/20/2021","57","F","Permanent Home"
"44267","971685","D","07/20/2021","61","M","Permanent Home"
"44268","971685","D","07/20/2021","59","F","Permanent Home"
"44269","971685","D","07/20/2021","85","M","Permanent Home"
"44196","974349","D","07/25/2021","30","F","Vehicle/Towed Trailer"
"44197","974349","D","07/25/2021","6","M","Vehicle/Towed Trailer"
"44198","974349","D","07/25/2021","2","M","Vehicle/Towed Trailer"
"44199","974349","D","07/25/2021","37","M","Vehicle/Towed Trailer"
"44200","974349","D","07/25/2021","12","M","Vehicle/Towed Trailer"
"44201","974349","D","07/25/2021","51","M","Vehicle/Towed Trailer"
"44202","974349","D","07/25/2021","47","F","Vehicle/Towed Trailer"
"44203","974349","D","07/25/2021","15","M","Vehicle/Towed Trailer"
"44174","974534","D","07/21/2021","9","M","Vehicle/Towed Trailer"
"44170","974779","D","07/24/2021","51","M","In Water"
"44211","974808","I","07/08/2021","49","M","Boating"
"44179","975107","D","07/04/2021","","M","In Water"
"44205","975118","D","07/16/2021","33","M","In Water"
"44207","975361","I","07/17/2021","58","M","In Water"
"44248","975739","D","07/30/2021","66","F","Mobile/Trailer Home"
"44245","976232","D","07/22/2021","4","F","Vehicle/Towed Trailer"
"44236","976304","D","07/09/2021","","","In Water"
"44237","976304","D","07/09/2021","","","In Water"
"44238","976304","D","07/09/2021","","","In Water"
"44239","976304","D","07/09/2021","","","In Water"
"44240","976304","D","07/09/2021","","","In Water"
"44241","976304","D","07/09/2021","","","In Water"
"44242","976304","D","07/09/2021","","","In Water"
"44243","976304","D","07/09/2021","","","In Water"
"44244","976304","D","07/09/2021","","","In Water"
"44247","976546","D","07/29/2021","13","M","In Water"
"44253","976591","D","07/06/2021","","M","Outside/Open Areas"
"44250","976592","D","07/06/2021","","M","Outside/Open Areas"
"44251","976592","D","07/06/2021","","M","Outside/Open Areas"
"44252","976592","D","07/06/2021","34","M","Outside/Open Areas"
"44254","976593","D","07/10/2021","44","M","Outside/Open Areas"
"44270","976595","D","07/21/2021","","M","Outside/Open Areas"
